
name,code
pea downy mildew,s04792895n
blight canker,s00011239n
bud rot of palms,s04707507n
Bark beetle infestation in Europe,s27805961n
flavescence dorée,s00948871n
anthracnose of grapevine,s05868632n
pear leaf spot,s13875988n
wheat septoria leaf blotch,s16164707n
wheat rust,s00065117n
Gymnosporangium sabinae,s00315783n
common scab,s02834891n
verticillium wilt,s03701710n
spot blotch,s03853041n
armillaria root rot,s04709790n
nectria canker,s04764272n
black wood-vessel disease,s04787188n
Entomosporium leaf spot,s04905491n
tar spot,s05174974n
pear leaf spot,s13875988n
daisy rust,s13876477n
Antirrhinum rust,s13876487n
leaf rust on plum,s13887343n
Cenangium canker,s14081179n
hnědá_pruhovitost_jehlic_borovice,s14130753n
Carie_(pathologie_végétale),s14916600n
Rouille_du_caféier,s17828182n
Papillome_urothélial,s14613478n
Rokitansky–Aschoff_sinuses,s15379814n
Ohrspeicheldruese,s15438352n
Riga–Fede_disease,s02007873n
purple_locoweed,s00060017n
Septicemia_hemorrágica_viral,s03764634n
Black_spot_disease_(fluke_disease),s17527430n
Épilepsie_canine,s15751491n
Carbunco_sintomático,s02938801n
Défaut_d'adhérence_des_leucocytes_chez_les_bovins,s04817226n
Insuffisance_rénale_chronique_du_chat,s15379212n
Coliques_des_équidés,s00683200n
Arestín_(enfermedad),s17977659n
Dilatación_del_proventrículo,s17150047n
Carence_en_fer_(biologie_végétale),s00807278n
Carence_en_manganèse,s00807476n
precocious_dentition,s00064097n
Leukotriene_receptor_antagonist-associated_Churg–Strauss_syndrome,s01418417n
Manifestatation_postvaccinale_indésirable,s03122659n
Complications_de_l'anesthésie,s04740376n
Calcul_intra-hépatique,s03826053n
Super-goûteur,s00621535n
sottishness,s00072870n
Coma_etílico,s04597569n
Intoxication_au_manganèse,s00820219n
Crossed_dystopia,s17241257n
ambulant_plague,s00003297n
Cecità_corticale,s02259947n
Fracture_transthalamique_du_calcanéus,s17827544n
Colección_privada,s03588726n
Néopathie,s05017788n
lepidophobia,s00050732n
1817–24_cholera_pandemic,s00934591n
1852–60_cholera_pandemic,s00934600n
1863–75_cholera_pandemic,s00934605n
1881–96_cholera_pandemic,s00934612n
1899–1923_cholera_pandemic,s00934617n
1961–75_cholera_pandemic,s00934622n
1829–51_cholera_pandemic,s14529968n
Gripe_asiática,s14610951n
Coreomanía,s01481616n
1817–24_cholera_pandemic,s00934591n
1852–60_cholera_pandemic,s00934600n
1863–75_cholera_pandemic,s00934605n
1881–96_cholera_pandemic,s00934612n
1899–1923_cholera_pandemic,s00934617n
1961–75_cholera_pandemic,s00934622n
Epidemias_de_cólera_en_España,s08436531n
Épidémie_de_choléra_de_1884_à_Marseille,s13984673n
1829–51_cholera_pandemic,s14529968n
Catedral_de_Santa_Sofía_de_Kiev,s14990259n
2014–15_African_cholera_outbreak,s16814673n
Épidémies_de_choléra_à_Malte,s17836474n
2016–18_Yemen_cholera_outbreak,s21133005n
Gripe_asiática,s14610951n
hairweaving,s00042562n
Santé_mentale_au_travail,s14687875n
Ingeniería_sanitaria,s03722245n
Chūgi,s14898101n
Esterilización_ultravioleta,s03549766n
Stérilisation_à_la_vapeur,s04787622n
Piscine_à_chevaux,s05174778n
Santé_au_travail,s04695330n
Santé_mentale_au_travail,s14687875n
Acné_du_nourrisson,s01337857n
baker's_eczema,s00008014n
Exanthème_morbilliforme,s01848677n
Avversità_della_vite,s08858298n
Bulle_(lésion),s04690612n
exogenous_depression,s00032256n
Depresión_Resistente_al_Tratamiento,s02798553n
Dépression_brève_récurrente,s00873150n
Disordine_affettivo_stagionale,s03516378n
Syndrome_à_phénotype_comportemental,s04854012n
Héboïdophrénie,s17317241n
hysterocatalepsy,s00045662n
Contre-dépendance,s02924282n
Ciberadicción,s00799697n
Dépendance_à_la_télévision,s03433273n
Mobile_phone_overuse,s16037316n
Psychose_déficitaire,s04840368n
Stigmatic-eligibilic_paraphilia,s00669528n
Maïeusophilie,s00868392n
Asthénéophilie,s04996156n
Complejo_de_Anfitrión,s08467972n
Sidérodromophilie,s14045013n
Zettai_ryōiki,s15638713n
Stéréotypie_(psychiatrie),s17301562n
Sequía_en_Chile_de_2010-2011,s08389526n
Trépidation_épileptoïde_du_pied,s04951220n
Dépendance_au_jeu_de_rôle_en_ligne_massivement_multijoueur,s17848016n
Crabe_flèche,s01146937n
Löffler's_syndrome,s02312227n
Dépistage_du_cancer_de_la_prostate,s02706696n
Agent_alkylant_antinéoplasique,s03892113n
Papillome_urothélial_inversé,s13981225n
Invasion_périneurale,s01879098n
Hypermétrie,s04836872n
Isométrataxie,s15179997n
Mouvement_choréiforme,s04908707n
Sindrome_di_Dupré,s08840978n
Compression_médullaire,s03224188n
Enfermedades_por_expansión_de_trinucleótidos,s01929565n
pusillanimity,s00065358n
automysophobia,s00007386n
cryophobia,s00024173n
Síndrome_de_Frankenstein,s14671337n
Néophobie_alimentaire,s16305214n
Antiespañolismo,s00350735n
Délire_d'interprétation_de_Sérieux_et_Capgras,s16877440n
Bouffée_délirante,s15439688n
Infarto_de_miocardio_con_elevación_del_segmento_ST,s08367231n
Miocardiopatía_de_takotsubo,s03645460n
Micro_déchirure,s04727666n
CIVD_par_rétention_de_fœtus_mort,s05233871n
Latérocidence_du_cordon,s04721724n
Lamaze_method_of_childbirth,s00049757n
Dystocie_des_épaules,s01235170n
Présentation_de_l'épaule,s01349222n
Présentation_transverse,s04721204n
Présentations_du_front_et_du_bregma,s04721232n
Levamisole-induced_vasculitis,s03021105n
Pequeño_para_la_edad_gestacional,s00303673n
Síndrome_de_Bouveret,s14688224n
Odontodysplasie_régionale,s03616242n
Pathologies_pulpaires_et_périapicales_en_endodontie,s14856897n
Interactions_médicaments-aliments,s04843088n
Vaccinations_mortelles_de_Lübeck,s17084600n
Atterrissage_forcé_sans_moteur,s00890704n
Conflicto_diplomático_entre_Europa_Occidental_y_América_Latina_de_2013,s14346294n
Bibliothèque_de_Friedrich_Nietzsche,s00255999n
Fundación_de_San_Lucas_Evangelista,s01323753n
Am_Römerholz,s02616493n
François_Pinault,s03771611n
Colección_Carmen_Thyssen-Bornemisza,s04591001n
Kashū_(poetry),s08079889n
Colección_Barbara_Piasecka_Johnson,s08267738n
Colección_Schøyen,s16280014n
Transmission_funiculaire_en_médecine,s17846950n
Affaire_des_infirmières_bulgares,s00154657n
Grippe_aviaire_en_Indonésie,s05016843n
Ombré,s15661046n
Inhibiteur_de_la_protéase_NS3-4A,s17837731n
Tindalización,s00972333n
Obesidad_en_México,s00908140n
papulovesicle,s00060518n
Aliénation_mentale,s04911936n
Síndrome_de_Wendy,s08323872n
Adicción_a_los_carbohidratos,s00655637n
Dépendance_au_smartphone,s09700299n
Dépendance_au_smartphone,s09700299n
paroxetime,s00060730n
Necrofilia_homosexual_en_el_ánade_real,s14674528n
Fétichisme_du_robot,s00850797n
Fétichisme_de_la_chaussure,s01362231n
Fétichisme_des_lunettes,s01834572n
Fétichisme_de_la_main,s03648651n
Culture_Goréenne,s01768712n
Fétichisme_de_la_main,s03648651n
Síndrome_del_emperador,s08438162n
Dyschronométrie,s04836871n
Foster–Kennedy_syndrome,s01144390n
Hadronthérapie,s00356143n
Radiothérapie_vectorisée,s02095323n
Oncología_radioterápica,s15484523n
Epstein–Barr_virus-positive_DLBCL_of_the_elderly,s17484147n
Cascade_ischémique,s02228357n
Espasmo_mioclónico,s03008140n
Parálisis_del_nervio_radial,s02923310n
Parsonage–Turner_syndrome,s14124000n
poltroonery,s00063397n
faintheartedness,s00032728n
Ethnocacérisme,s00562033n
Marshall–White_syndrome,s01510885n
Rama_del_nódulo_sinoauricular_de_la_arteria_coronaria_derecha,s03596914n
Dihidrocodeína,s00126459n
Α-Methylfentanyl,s00174350n
Acetildihidrocodeína,s03809237n
Grapefruit–drug_interactions,s14415890n
Bactérie_multirésistante,s05023941n
Bactérie_multirésistante,s05023941n
Résistance_du_VIH_face_aux_inhibiteurs_de_protéase,s04912586n
Kinkai_Wakasyū,s15415353n
Mèche_de_l'enfance,s15741128n
Chignon_suève,s03871707n
Antibiótico_de_amplio_espectro,s03339327n
Aminoglucósido,s03455190n
Antibiótico_polipéptido,s15024533n
Antibiotique_bêta-lactamine,s16559208n
mild_silver_protein,s00005618n
Bromure_d'éthidium,s02995135n
Aspartate_aminotransférase,s00181996n
Demostración_de_la_irracionalidad_de_e,s02840989n
Canal_caché,s00989591n
Condición_de_carrera,s03247822n
Inyección_XPath,s14682122n
Vulnérabilité_des_services_d'authentification_web,s17820626n
Vulnérabilité_des_firmwares_et_leurs_contre-mesures,s17823771n
Ghost_(Vulnérabilité),s17826988n
Fiebre_del_oro_del_cañón_del_Fraser,s02067706n
Ruée_vers_l'or_de_l'Oural,s04989999n
Neumoquistografía,s08305081n
Galactografía,s15631822n
Carbonethérapie,s15884846n
Radioembolización_hepática,s08361686n
Chimio-hyperthermie_intra-péritonéale,s02435502n
Alcoolisme_étudiant_en_France,s04916319n
Coupe_à_la_garçonne,s02922182n
penicillinase-resistant_antibiotic,s00061368n
Penicilina_semisintética,s04596127n
Penicilina_biosintética,s04596128n
Discovery_and_development_of_non-nucleoside_reverse-transcriptase_inhibitors,s01811042n
Discovery_and_development_of_non-nucleoside_reverse-transcriptase_inhibitors,s01811042n
Inhibiteur_de_l'intégrase,s03655841n
Traitement_antirétroviral_hautement_actif,s04813172n
Pelagia_de_Antioquía,s01842341n
Chambre_d’équilibre,s00390453n
Tunnel_de_dérivation,s17069770n
Schloss_Großsachsenheim,s16684890n
Division_(matériel_d'incendie),s04050526n
Saumoduc_de_Salins-les-Bains_à_Arc-et-Senans,s14534795n
ablepharia,s00000337n
ateleiosis,s00006710n
musca_volitans,s00035268n
pneumocytosis,s00047225n
Pena-Shokeir syndrome,s04074848n
Hoigne syndrome,s04080784n
associated diseases,s04094961n
islet-cell adenoma,s04113976n
Zuelzer-Wilson's syndrome,s04154499n
anticholinergic toxidrome,s04158544n
lip cancer,s04251089n
tongue cancer,s04292379n
executive burnout,s05059442n
dermoid cyst of ovary,s05064207n
ovarian mucinous cystadenocarcinoma,s05068702n
diffuse uterine leiomyomatosis,s05069141n
lobar holoprosencephaly,s05075390n
pituitary hypoplasia,s05077881n
necrosis of pituitary,s05077885n
salmonella sepsis,s05079333n
wedge shaped vertebra,s05132798n
staphylococcal skin infection,s05156413n
shock kidney,s05158729n
enterohaemorrhagic Escherichia coli infection,s05158756n
diphtheroid infection,s05167272n
bladder trabeculation,s05168840n
torus fracture,s05178241n
growth disorder,s05178565n
secondary caries,s05181556n
Infant toxicosis,s05181980n
mental illness,s05184755n
hydrops of gallbladder,s05193536n
alpha chain disease,s05197665n
tubal pregnancy,s05200232n
abuse of non-dependence-producing substances,s05200999n
ovine and caprine brucellosis,s05217450n
papular stomatitis,s05227894n
lack of vaginal lubrication,s05229051n
small intestine cancer,s05235381n
Multi/minicore myopathy,s05236084n
renal pelvis carcinoma,s05237610n
hemorrhage per rhexis,s05242605n
early-onset disease,s05243617n
monocytic leukemia,s05244408n
chiasmal syndrome,s05245011n
nasociliary neuralgia,s05253451n
stress-related disorders,s05260129n
atypical choroid plexus papilloma,s05261689n
Postictal twilight state,s05263250n
subacute bacterial endocarditis,s05265241n
lung nodule,s05275052n
Partially duplicated ureter,s05277979n
Cancer phobia,s05288007n
herpes B,s05288147n
paraneoplastic pemphigus,s05292600n
ureter carcinoma,s05301543n
Achenbach syndrome,s05308017n
non-odontogenic cyst,s05312197n
C1q nephropathy,s05316512n
conjunctival concretion,s05344543n
adult polyglucosan body disease,s05353400n
Elsberg syndrome,s05362077n
pharyngeal phlegmon,s05362977n
Fractures of human teeth,s05376254n
acute midbrain syndrome,s05378152n
Purpura cerebri,s05378299n
orofacial myofunctional disorders,s05382732n
Clutton's joints,s05387024n
post-traumatic arthritis,s05402349n
opioid withdrawal syndrome,s05404050n
deep venous insufficiency,s05409427n
varicose ulcer,s05414669n
alcohol withdrawal seizure,s05425540n
ideomotor apraxia,s05426353n
focal lung pneumatosis,s05442162n
bipartite patella,s05443538n
posterior tibial tendon dysfunction,s05463077n
parainfectious disease,s05467120n
sacroiliac joint dysfunction,s05477428n
heart block,s05518885n
sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome,s05527737n
sperm granuloma,s05567384n
surgical stress,s05579137n
functional gastric disease,s05583487n
Low Latent Inhibition,s05731326n
Newcastle disease,s05760087n
disease affecting Cowslip,s05764824n
acute poststreptococcal glomerulonephritis,s05860815n
chronic rhinitis,s05863333n
woody phlegmon,s05876080n
vitamin K deficiency,s05898230n
thiamine deficiency,s05898233n
1-alpha-hydroxylase deficiency,s05898372n
radiation sickness,s05901847n
central nervous system neoplasm,s05902394n
atactic thinking,s05905209n
Helicobacter pylori infectious disease,s05945019n
Transitory impairment of cerebral circulation,s05955660n
leech infestation,s05957972n
Taeniasis saginata,s05958056n
emotionally unstable personality disorder,s05966701n
pseudophilosophical thinking,s05967024n
cold injury,s05986451n
infestation by Ornithonyssus,s05999592n
Dermatophagoides allergy,s06002198n
chromosomal disease,s06007118n
mycobacterium infectious disease,s06007761n
brain compression,s06009688n
Mitochondrial diabetes,s06017372n
Pulmonary hamartoma,s06019647n
Simmonds' cachexia,s06036256n
neonatal vesiculopustulosis,s06037316n
micropapillomatosis labialis,s06043930n
muttering delirium,s06044174n
gastrointestinal myiasis,s06046261n
dermal myiasis,s06046352n
Brugia malayi filariasis,s06046866n
Chrysomya myiasis,s06047248n
syncitial endometritis,s06053750n
Tumor of the stomach,s06058841n
Chronic thyroiditis,s06060477n
Pseudamphistomum truncatum infection,s06071937n
Moniliformis infection,s06071947n
Rhabditida infectious disease,s06072651n
disease caused by Phora fly,s06072939n
Penile myiasis,s06073861n
Disease due to Armillifer,s06075814n
tongue neoplasm,s06090587n
keratitis related to vitamin deficiency,s06097362n
Gasping syndrome,s06107128n
acute paraproctitis,s06117533n
spinal osteochondrosis,s06167352n
delusional dysmorphophobia,s06174400n
syndromic microphthalmia 3,s06251189n
coronary arterial fistula,s06255921n
Ermine phenotype,s06256793n
Camera-Marugo-Cohen syndrome,s06264139n
desmoplastic infantile ganglioglioma,s06266929n
neurovascular conflict,s06268909n
spontaneous intracranial hypotension,s06269434n
myxopapillary ependymoma,s06271275n
rosette-forming glioneuronal tumour of the fourth ventricle,s06271494n
tonsil cancer,s06273231n
Van den Ende-Gupta syndrome,s06277952n
Chudley-McCullough syndrome,s06278452n
ocular albinism type 2,s06278547n
Bartsocas-Papas syndrome,s06279016n
Pitt–Rogers–Danks syndrome,s06280352n
third ventricle chordoid glioma,s06281625n
Divry-Van Bogaert syndrome,s06281783n
Sener syndrome,s06281827n
Rutherfurd syndrome,s06281833n
mental fatigue,s08484872n
understanding aphasia,s08536714n
corneal disease,s08597055n
language disorder,s08608364n
track-finders disease,s08613046n
chronic pyelonephritis,s08650226n
nasal cancer,s08729684n
myoclonic epilepsy,s08740653n
acrorenal syndrome,s08740659n
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,s08774579n
N syndrome,s08775562n
pancreatic hypoplasia-diabetes-congenital heart disease syndrome,s08775935n
Tonoki syndrome,s08794124n
allergic asthma,s09190709n
autoimmune skin disease,s09304631n
Lazy leukocyte syndrome,s09695462n
POR deficiency,s09715232n
eyelid neoplasm,s10021216n
colorectal carcinoma,s10022008n
myalgic encephalomyelitis,s10510426n
reflex sympathetic dystrophy,s10734460n
Metabolic disease with mental disability,s10760521n
drug-induced hepatitis,s10832233n
chronic lateness,s10843218n
Pathological intoxication,s10898440n
alcoholic polyneuropathy,s10926496n
Wuchereria bancrofti filariasis,s10926766n
granular corneal dystrophy type I,s10935270n
atherogenic dyslipidemia,s11182172n
wine disease,s11189548n
infective psychosis,s11194903n
Bulbitis of duodenum,s11203523n
cerebral hemisphere syndrome,s11204058n
anal papillitis,s11244123n
Owren's disease,s11645489n
thyroid angiosarcoma,s11907829n
spinal cord infarction,s13815266n
afferent loop syndrome,s13948548n
systolic heart failure,s14129079n
broken finger,s06048993n
Mohr syndrome,s06281848n
amyotrophic lateral sclerosis with polyglucosan bodies,s06281861n
glucocorticoid resistance,s06282657n
Toriello-Carey syndrome,s06282837n
Skrljevo disease,s06283903n
Redlich's syndrome,s06285871n
renal hypertension,s06290368n
pericardial cyst,s06290744n
Harboyan syndrome,s06291187n
BOR-Duane hydrocephalus contiguous gene syndrome,s06291603n
Pypeć,s06291860n
Verloes-Deprez syndrome,s06292976n
Happle Tinschert Syndrome,s06295315n
atypical autism,s06295833n
multiple primary neoplasms,s06302307n
Sheldon-Hall syndrome,s06308978n
Intermittent hydrarthrosis,s06308998n
"spondylometaphyseal dysplasia, Kozlowski type",s06309234n
Gjessing syndrome,s06314534n
hyperparathyroidism-jaw tumor syndrome,s06315031n
lipoprotein glomerulopathy,s06332949n
chronic pharyngitis,s06354508n
venous thromboembolism,s06355932n
cenesthopathic schizophrenia,s06373446n
Vibroacoustic disease,s06423742n
brain cancer,s06441417n
neonatal infection,s06443228n
Franceschetti-Leber phenomenon,s06449243n
Rothmann-Makai syndrome,s06469221n
sinus arrhythmia,s06487093n
"Hereditary cerebral hemorrhage with amyloidosis, Dutch type",s06488186n
interface dermatitis,s06495447n
autoimmune connective tissue disorder,s06560288n
Focal infection of oral origin,s06589645n
organ torsion,s06604526n
chronic lower respiratory diseases,s06611846n
tooth ankylosis,s06754675n
milker's fever,s06760996n
organic psychosis,s06763776n
cerebral toxoplasmosis,s06796500n
hereditary gingival fibromatosis,s06824549n
nose disease,s06855002n
benign lymphoepithelial lesion of salivary gland,s06870463n
primary spontaneous pneumothorax,s06870921n
maculo syndrome,s06898614n
psychosomatic disease,s06941395n
psoriatic erythroderma,s06961696n
alpha-1-antitrypsin deficiency,s07044858n
primary open angle glaucoma,s07075723n
primary angle-closure glaucoma,s07075724n
intestinal neoplasm,s07087991n
acute diarrhea,s07089181n
pulmonary tuberculosis,s07108730n
Poxviridae infectious disease,s07129472n
threatened abortion,s07543174n
Intensive care unit syndrome,s07700514n
metal allergy,s07829676n
ocular motility disease,s07857208n
Bladder and rectal disturbance,s07914298n
hard palate cancer,s07916609n
demencia senil,s07988446n
bura bura disease,s08003822n
senile dementia,s08032924n
impaired renal function disease,s08067055n
hard tissues disease,s08069194n
bile duct carcinoma,s08091562n
cutaneous candidiasis,s08161734n
solar comedone,s08168610n
Achor-Smith syndrom,s14270550n
autosomal recessive disease,s14512446n
intercurrent disease,s14551808n
KISS syndrome,s14993085n
encephalopathy due to hydroxykynureninuria,s15203940n
Cholinergic poisoning,s15364776n
myotonic dystrophy type 2,s15760423n
ovarian tumor,s16907900n
delirium acutum,s17161517n
retinal vascular disease,s17162555n
renal forniceal rupture,s17883964n
Tibial aplasia-ectrodactyly syndrome,s17938676n
Scalp Ringworm,s18022450n
Multilobar pneumonia,s18024950n
bilateral pneumonia,s18024952n
opportunistic pneumonia,s18024953n
necrotizing pneumonia,s18024954n
Pretesticular azoospermia,s18025638n
Testicular azoospermia,s18025639n
posttesticular azoospermia,s18025641n
Idiopathic azoospermia,s18025642n
Granulomatous perioral dermatitis,s18035335n
dropped head syndrome,s18289914n
Erosion of cervix uteri,s18431803n
purulent oophoritis,s18444390n
psychopharmacological delirium,s18464692n
exogenous disease,s18482241n
tumor of hematopoietic and lymphoid tissues,s21151515n
autosomal dominant keratitis,s21161809n
Malayan filariasis in Hachijo-Kojima Island,s21273484n
defect state of schizophrenia,s21332619n
Exfoliative ichthyosis,s21402286n
monoclonal gammopathy of renal significance,s21532526n
schizophrenic reaction,s21578822n
paranoial schizophrenia,s21578872n
apathy-aboulia syndrome,s21605522n
Bladder outlet decline,s21709529n
Chronic Airway-Digestive Inflammatory Disease,s21712060n
STAR syndrome,s21715028n
alcoholic ketoacidosis,s21728869n
methylenetetrahydrofolate reductase deficiency,s21753383n
Jokela type spinal muscular atrophy,s21754697n
vaginal melanoma,s21756038n
congenital disorder of glycosylation type Ia,s21759078n
extrapulmonary tuberculosis,s21761328n
Askin's tumor,s21769102n
geographic atrophy,s21769740n
Lewy body dementia,s21782206n
Soemmering ring,s21798291n
Nipah virus infection,s21801318n
Pascual-Castroviejo syndrome type 1,s21806032n
chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids,s21869951n
"spondyloepiphyseal dysplasia, Maroteaux type",s21876012n
"phocomelia, Schinzel type",s21879386n
multiple synostoses syndrome,s21881522n
Parkinson’s disease psychosis,s21928068n
LADD syndrome,s21935213n
alpha chain disease,s21954498n
neotenic complex syndrome,s22132588n
COACH syndrome,s22133137n
knee dislocation,s22140005n
monomelic amyotrophy,s22140079n
autosomal dominant optic atrophy,s22170955n
adenosine deaminase 2 deficiency,s22187372n
Microphthalmia with brain and digit anomalies,s22198821n
Emberger syndrome,s22200452n
hormone-sensitive cancer,s22211540n
spinal epidural hematoma,s22211757n
Bainbridge Ropers Syndrome,s22220358n
Heimler syndrome,s22221445n
Srb's anomaly,s22230071n
necrotizing bronchiolitis,s22231091n
breast papillomatosis,s22231212n
transient myeloproliferative disease,s22239139n
multicentric carpo-tarsal osteolysis with or without nephropathy,s22250917n
congenital cataract-microcephaly-nevus flammeus simplex-severe intellectual disability syndrome,s22250961n
ZTTK syndrome,s22259263n
CANDLE syndrome,s22259325n
haploinsufficiency of A20,s22374967n
ureterovaginal fistula,s22396034n
SYT1-associated neurodevelopmental disorder,s22493081n
Pituitary stalk interruption syndrome,s22546244n
congenital hypofibrinogenemia,s22602802n
beta-propeller protein-associated neurodegeneration,s22674274n
"autosomal recessive cutis laxa type 2, classic type",s22696361n
multisystemic smooth muscle dysfunction syndrome,s22785273n
postvaccinal encephalitis,s22880877n
Zellweger spectrum disorder,s22903104n
arginine:glycine amidinotransferase deficiency,s23174030n
failure of eruption of teeth,s23293110n
early pregnancy bleeding,s23307771n
Agenesis of the vena cava,s23308707n
repeated implantation failure,s23340994n
eccrine porocarcinoma,s23360181n
obesity due to congenital leptin deficiency,s23360904n
Multicentric carpotarsal osteolysis syndrome,s23400311n
anemia in pregnancy,s23433319n
functional hypothalamic amenorrhea,s23473127n
Acyl-CoA oxidase deficiency,s23485818n
frozen pelvis,s23490491n
encephalocraniocutaneous lipomatosis,s23499017n
vulvar neoplasm,s23523480n
Bocavirus infection,s23528191n
Insulin-resistance syndrome type A,s23633956n
combined vitamin K-dependent clotting factors deficiency,s23633960n
mucinous cystic neoplasm,s23649378n
paroxysmal supraventricular tachycardia,s23664239n
alpha cell hyperplasia,s23685756n
autosomal dominant deafness-onychodystrophy syndrome,s23707579n
Steinfeld syndrome,s23707637n
Gorlin-Chaudhry-Moss syndrome,s23747549n
Syndromic microphthalmia,s23761739n
cerebral folate deficiency,s23779719n
Quadriga phenomenon,s23785947n
Cerebro-costo-mandibular syndrome,s23816551n
Hypertension and brachydactyly syndrome,s23821177n
XK aprosencephaly,s23830755n
Barber-Say syndrome,s23835282n
Vulvar Crohn's disease,s23838524n
progressive myoclonic epilepsy type 7,s23850057n
avian mycoplasma pneumonia,s23851845n
Infantile melanodontia,s23859471n
polymicrogyria with optic nerve hypoplasia,s23859609n
tertiary peritonitis,s23864054n
testicular dysgenesis syndrome,s23877830n
foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome,s23880837n
tertiary lymphoid structure,s23900812n
Hand and foot deformity with flat facies,s23908743n
CODAS syndrome,s23925132n
Sex chromosome anomalies,s23927369n
geleophysic dysplasia,s23952730n
Percheron artery infarction,s23960509n
Plane-form enamel hypoplasia,s23974129n
chronic hepatitis,s23977341n
otofaciocervical syndrome,s23979999n
distal hereditary motor neuropathy type V,s23983620n
Occult macular dystrophy,s24012337n
progeroid features-hepatocellular carcinoma predisposition syndrome,s24046231n
Menke-Hennekam syndrome,s24046288n
Vohwinkel syndrome,s24054338n
Erythema palmare hereditarium,s24064605n
platypnea-orthodeoxia syndrome,s24088363n
airport malaria,s24104323n
"Hereditary Fibrosing Poikiloderma with Tendon Contractures, Myopathy and Pulmonary Fibrosis",s24111933n
STING-associated vasculopathy with onset in infancy,s24176873n
Aldred syndrome,s24192363n
limbic-predominant age-related TDP-43 encephalopathy,s24197309n
dopamine transporter deficiency syndrome,s24214591n
Jackson's syndrome,s24274663n
collagen loss,s24300791n
7q11.23 duplication syndrome,s24300834n
paternal depression,s24371301n
Hardcastle syndrome,s24371830n
metatropic dysplasia,s24441708n
chronic prurigo,s24454548n
Pseudohyperaldosteronism type 2,s24454671n
2q23.1 microdeletion syndrome,s24537266n
17q11.2 microduplication syndrome,s24540797n
amaurosis-hypertrichosis syndrome,s24560258n
stony coral tissue loss disease,s24618120n
Bilharzial cor pulmonale,s24644324n
Ambras type hypertrichosis universalis congenita,s24650982n
thymoma-associated multiorgan autoimmunity,s24656381n
alcoholic paranoid,s24659054n
statin-associated autoimmune myopathy,s24666044n
Mitchell-Riley syndrome,s24756018n
Martinez-Frias syndrome,s24760541n
Parkinsonism-hyperpyrexia syndrome,s24776588n
megacystis-megaureter syndrome,s24798020n
cheese washer's lung,s24838610n
collecting duct carcinoma,s24847222n
aniridia-intellectual disability syndrome,s24891499n
"Duodenojejunal atresia with volvulus, absent dorsal mesentery, and Absent superior mesenteric artery",s24924294n
running injuries,s24959059n
microvascular angina,s24988514n
Cohen-Gibson syndrome,s25020701n
Lamb-Shaffer syndrome,s25033538n
LPS-responsive beige-like anchor protein deficiency,s25033610n
Sweet potato virus disease,s25037579n
Van Den Bosch syndrome,s25104934n
Familial multiple lipomatosis,s25133506n
Boylan Dew Greco syndrome,s25173875n
CDK13-related disorder,s25258256n
megavitamin-b6 syndrome,s25278792n
brain-lung-thyroid syndrome,s25282499n
coffee wilt disease,s25283981n
Yao syndrome,s25295073n
congenital microgastria,s25304905n
Alder-Reilly anomaly,s25315780n
hemochromatosis type 5,s25337925n
cervical artery dissection,s25362250n
"Thiemann disease, familial form",s25364183n
postpartum infections,s25365366n
Bosch-Boonstra-Schaaf optic atrophy syndrome,s25371571n
BOSMA Arhinia Microphthalmia Syndrome,s25401412n
hereditary hyperferritinemia with congenital cataracts,s25407197n
low phospholipid associated cholelithiasis,s25409905n
mixed-phenotype acute leukemia,s25411823n
microgastria-limb reduction defect syndrome,s25416162n
megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome,s25425382n
anaplastic oligodendroglioma,s25436586n
hereditary alpha tryptasemia syndrome,s25447320n
reading seizures,s25556437n
COVID-19 disease in pregnancy,s25576117n
COVID-19 pandemic in Tokyo,s25607098n
DeSanto-Shinawi syndrome,s25609583n
Waardenburg Syndrome Type 2D,s25759210n
Arakawa's syndrome I,s25832290n
Idiopathic chronic fatigue,s25854401n
embryo loss,s26006102n
cuboid fracture,s26369028n
spina bifida cystica,s26505740n
Pork-Cat Syndrome,s26532155n
long COVID,s26542268n
autosomal genetic disease,s26682202n
TARP syndrome,s26738865n
abdominal tuberculosis,s27047353n
Extraneural perineurioma,s27054626n
anterior segment dysgenesis 7,s27062358n
microphthalmia with limb anomalies,s27065537n
osteoporosis-pseudoglioma syndrome,s27080323n
arteriosclerotic heart disease,s27267753n
cleft lip and cleft palate,s27268352n
beta thalassemia,s27268546n
substance-related disorder,s27268856n
opioid use disorder,s27269375n
androgenic alopecia,s27269632n
clostridial necrotizing enteritis,s27269772n
Cotard delusion,s27269792n
childhood obesity,s27270006n
van Leeuwenhoek's disease,s27277227n
rectal disease,s27298422n
hepatic artery thrombosis,s27300957n
MEND syndrome,s27305635n
Dihydropteridine reductase deficiency,s27324455n
peripheral motor neuropathy-dysautonomia syndrome,s27400390n
DAVID syndrome,s27427178n
SHOX-related short stature,s27428150n
hard flaccid syndrome,s27447249n
partial deletion of the long arm of chromosome 7,s27459198n
20p13 microdeletion syndrome,s27463808n
idiopathic inflammatory myopathy,s27472863n
