diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q18555158,Q18555158, , , , , , , , , , , , , , ,C0334374, ,C4191, , , 
Q18555162,Q18555162, , , , , , , , , , , , , , ,C0023601,D007984,C3188, , , 
Q18555164,Q18555164, , , , , , , , , , , , , , ,C1266141, ,C39812, , , 
Q18555187,Q18555187, , , , , , , , , , , , , , ,C1333477, ,C6065, , , 
Q18555194,Q18555194, , , , , , , , , , , , , , ,C0334556,C562741,C7644, , , 
Q18555197,Q18555197, , , , , , , , , , , , ,154.0,C19,C0153443, ,C7420, , , 
Q18555254,Q18555254, , ,"Gemzitabina,Q412197,Q412415,Q415588,etoposido","Q412197,Q412415,Q414143,Q415588,Q418817", , , , , , , , , , ,"C0205851,C0740345", ,"C3708,C4925", , , 
Q18555262,Q18555262, , , , , , , , , , , , , , ,C1511319, ,C40389, , , 
kartzinoma papilar,Q18555294, , , , , , , , , , , , , , ,C0007133,D002291,C2927, , , 
Q18555301,Q18555301, , ,"Azido laktiko,Betametasona,Kortisol,Q27106662,Q29417,Q385370,Q4224007,Q425991,Q4376623,Q4713192,Q4742041,Q5134843,Q5275451,Q5462632,Q904011,triamzinolona","Q1074056,Q161249,Q190875,Q27106662,Q29417,Q385370,Q416132,Q4224007,Q425991,Q4376623,Q4713192,Q4742041,Q5134843,Q5275451,Q5462632,Q904011", , , , , , , , , , ,C0015456,D005148, , , , 
Q18555324,Q18555324, , , , , , , , , , , , , , ,"C0279070,C1332190", ,"C4014,C9376", , , 
Q18555343,Q18555343, , ,Q413772,Q413772, , , , , , , , , ,G56.4,C0007462,D002422,C121572, , , 
Q18555350,Q18555350, , , , , , , , , , , , , , ,C1335508, ,C5525, , , 
Q18555361,Q18555361, , ,Q417542,Q417542, , , , , , , , ,164.0,C37,"C0751552,C3714644", ,C4962, , , 
Q18555363,Q18555363, , , , , , , , , , , , , ,"C37,D15.0",C1266091, ,C6454, , , 
Q18555366,Q18555366, , , , , , , , , , , , , ,"C37,D15.0",C1328042, ,C7114, , , 
Q18555375,Q18555375, , , , , , , , , , , , , , ,C1333962, ,C27485, , , 
Q18555376,Q18555376, , , , , , , , , , , , , , ,C1333426, ,C38151, , , 
Q18555390,Q18555390, , , , , , , , , , , , , , ,C0278511, ,C7780, , , 
Q18555396,Q18555396, , , , , , , , , , , , ,170.9, ,"C0585474,C1333481,C1334406", ,"C35871,C4835,C6623", , , 
Q18555399,Q18555399, , , , , , , , , , , , , , ,C0279603, ,C4021, , , 
Q18555924,Q18555924, , , , , , , , , , , , ,433.10, ,C0007274,D002341, , , , 
Q18555934,Q18555934, , , , , , , , , , , , , , ,C1370468, ,C6389, , , 
Q18555959,Q18555959, , , , , , , , , , , , , , ,C1332249, ,C6656, , , 
Q18555996,Q18555996, , , , , , , , , , , , , , ,C1334807, ,C9131, , , 
Q18556005,Q18556005, , , , , , , , , , , , , , ,C1334259, ,C5428, , , 
Q18556034,Q18556034, , , , , , , , , , , , , , ,C1332919, ,C36095, , , 
Q18556038,Q18556038, , , , , , , , , , , , , , ,C1517120, ,C40109, , , 
Q18556050,Q18556050, , , , , , , , , , , , , , ,C1332936, ,C6711, , , 
Q18556061,Q18556061, , , , , , , , , , , , , , ,C1336890, ,C6165, , , 
Q18556080,Q18556080, , , , , , , , , , , , , , ,C0151311, ,C26941, , , 
Q18556087,Q18556087, , , , , , , , , , , , , , ,"C1333286,C1334576", ,"C5125,C5126", , , 
Q18556093,Q18556093, , , , , , , , , , , , ,"187.8,187.9","C60-C63,C63.9", , ,C8561, , , 
Q18556108,Q18556108, , , , , , , , , , , , , , ,C0334345, ,"C27527,C4168", , , 
Q18556118,Q18556118, , , , , , , , , , , , , , ,C1333298, ,C6504, , , 
Q18556156,Q18556156, , , , , , , , , , , , ,"017.90,528.9", ,C0041323,D014393, , , , 
Q18556161,Q18556161, , , , , , , , , , , , , , ,C0948638, ,C27342, , , 
Q18556174,Q18556174, , , , , , , , , , , , , , , , ,C7731, , , 
Q18556175,Q18556175, , , , , , , , , , , , , , ,C1333756, ,C5839, , , 
Q18556177,Q18556177, , , , , , , , , , , , , , ,C1335176, ,C5236, , , 
Q18556238,Q18556238, , , , , , , , , , , , , , ,C0752282,D020914,C84648, , , 
Q18556241,Q18556241, , , , , , , , , , , , , , ,C1333514, ,C27293, , , 
Q18556243,Q18556243, , ,Q7860340,Q7860340, , , , , , , , ,770.4,P28.0,C0270163, , , , , 
Q18556255,Q18556255, , , , , , , , , , , , , , ,C1334267, ,C5355, , , 
Q18556268,Q18556268, , , , , , , , , , , , , , ,C1304295, ,C7585, , , 
Q18556272,Q18556272, , , , , , , , , , , , , , ,C1266007, ,C27535, , , 
Q18556276,Q18556276, , , , , , , , , , , , , , ,C1519320, ,C38110, , , 
Q18556288,Q18556288, , , , , , , , , , , , , , ,C1336066, ,C7297, , , 
Q18556292,Q18556292, , , , , , , , , , , , , , ,C0334443, ,C4236, , , 
Q18556302,Q18556302, , , , , , , , , , , , , , ,C0334244, ,C4102, , , 
Q18556335,Q18556335, , , , , , , , , , , , , , ,"C2608055,C2931352",C536851,C39789, , , 
Q18556345,Q18556345, , , , , , , , , , , , , , ,C1266043, ,C27893, , , 
Q18556355,Q18556355, , , , , , , , , , , , , , ,C0279988, ,C9174, , , 
Q18556356,Q18556356, , , , , , , , , , , , , , ,C1332312, ,C5376, , , 
Q18556375,Q18556375, , , , , , , , , , , , , , ,C1332982, ,C27374, , , 
Q18556383,Q18556383, , , , , , , , , , , , , , ,C1322286, ,C7569, , , 
behazun-hodiko minbizi,Q18556397, , , , , , , , , , , , ,156.9,C24.9,C4020709, , , , , 
Q18556418,Q18556418, , , , , , , , , , , , , ,D47.09,C0024897, ,C9303, , , 
Q18556427,Q18556427, , , , , , , , , , , , , ,"C50.0,C50.1,C50.2,C50.3,C50.4,C50.5,C50.6,C50.8",C1334708, ,C5164, , , 
Q18556447,Q18556447, , , , , , , , , , , , , , ,C0334540, ,C4299, , , 
Q18556466,Q18556466, , , , , , , , , , , , , ,C62.1,C1515289, ,"C39948,C6358", , , 
Q18556467,Q18556467, , , , , , , , , , , , , , ,C0853715, ,C5353, , , 
Q18556475,Q18556475, , , , , , , , , , , , , , ,C0238143, ,C35707, , , 
Q18556481,Q18556481, , , , , , , , , , , , , , ,C1332904, ,C5436, , , 
Q18556497,Q18556497, , , , , , , , , , , , , ,D43.2,C0206725,D018315,C3795, , , 
Q18556498,Q18556498, , , , , , , , , , , , , , ,C0014474, ,C3017, , , 
Q18556540,Q18556540, , ,"Q238512,Q420207,Q7041828","Q238512,Q420207,Q7041828", , , , , , , , , , ,C0279637, ,C9291, , , 
Q18556562,Q18556562, , , , , , , , , , , , , , ,C0334276,D065311,C4123, , , 
Q18556637,Q18556637, , , , , , , , , , , , , , ,C1332266, ,C5608, , , 
Q18556647,Q18556647, , , , , , , , , , , , ,215.9, ,C1275264, ,C6558, , , 
Q18556651,Q18556651, , , , , , , , , , , , , , ,C1510961, ,C41426, , , 
Q18556652,Q18556652, , , , , , , , , , , , , , ,C1334828, ,C6559, , , 
Q18556659,Q18556659, , , , , , , , , , , , , , ,C3642329, ,C40270, , , 
Q18556660,Q18556660, , , , , , , , , , , , , , ,C4289585, ,C40269, , , 
Q18556661,Q18556661, , , , , , , , , , , , ,233.2,D07.0,C0346191, , , , , 
Q18556678,Q18556678, , , , , , , , , , , , , , ,C1302569, ,C7286, , , 
Q18556682,Q18556682, , , , , , , , , , , , ,356.9, ,C0270922, ,C27062, , , 
Q18556692,Q18556692, , , , , , , , , , , , , , ,C1334179, ,C27495, , , 
Q18556693,Q18556693, , , , , , , , , , , , , , ,C1333157, ,C9428, , , 
Q18556700,Q18556700, , , , , , , , , , , , , , ,C0238152, ,C7723, , , 
Q18556707,Q18556707, , , , , , , , , , , , , , ,C1336007, ,C5335, , , 
Q18556731,Q18556731, , , , , , , , , , , , , , ,C1519867, ,C40139, , , 
Q18556735,Q18556735, , , , , , , , , , , , , , ,C1336886, ,C6172, , , 
Q18556742,Q18556742, , , , , , , , , , , , , , ,C1336709, ,C6357, , , 
Q18556763,Q18556763, , , , , , , , , , , , , , ,C1511048, ,C40299, , , 
Q18556770,Q18556770, , , , , , , , , , , , , , ,C0334315, ,C4151, , , 
Q18556774,Q18556774, , , , , , , , , , , , , , ,C0238814, ,C7739, , , 
Q18556780,Q18556780, , , , , , , , , , , , , , ,C1519913, ,C40256, , , 
Q18556785,Q18556785, , , , , , , , , , , , , , ,C1336893, ,C7414, , , 
Q18556787,Q18556787, , , , , , , , , , , , , , ,C1511197, ,C39857, , , 
Q18556790,Q18556790, , , , , , , , , , , , , , ,C1331535, ,C7126, , , 
Q18556802,Q18556802, , , , , , , , , , , , , , ,C1518729, ,C40031, , , 
Q18556805,Q18556805, , , , , , , , , , , , , , ,C0334317, ,"C8985,C8987", , , 
Q18556812,Q18556812, , , , , , , , , , , , , , ,C0334505, ,C4277, , , 
Q18556815,Q18556815, , , , , , , , , , , , , , ,C0334507, ,C4279, , , 
Q18556818,Q18556818, , , , , , , , , , , , , , ,C1384403, ,"C4713,C4714", , , 
Q18556836,Q18556836, , , , , , , , , , , , , , ,C0334247, ,C4105, , , 
Q18556849,Q18556849, , , , , , , , , , , , , , ,C0238409, ,C7732, , , 
Q18556856,Q18556856, , , , , , , , , , , , , , ,C1333596, ,C6282, , , 
Q18556860,Q18556860, , , , , , , , , , , , , ,C56,C0346181, ,C4515, , , 
Q18556882,Q18556882, , , , , , , , , , , , ,162.9, ,C1335325, ,C5650, , , 
Q18556884,Q18556884, , , , , , , , , , , , , , ,"C1367774,C1707880", ,C27254, , , 
Q18556889,Q18556889, , , , , , , , , , , , , , ,C1333595, ,C6267, , , 
Q18556895,Q18556895, , , , , , , , , , , , , ,"C91.5,C91.50",C0023493, ,"C3183,C3184", , , 
Q18556899,Q18556899, , , , , , , , , , , , ,350.8, ,C0029834,D020433, , , , 
Q18556913,Q18556913, , , , , , , , , , , , , , ,C3896969, ,C114656, , , 
Q18556916,Q18556916, , , , , , , , , , , , , , ,C0346202, ,C4519, , , 
Q18556917,Q18556917, , , , , , , , , , , , , , ,C1335299, ,C5721, , , 
Q18556922,Q18556922, , , , , , , , , , , , , , ,C1519828, ,C39872, , , 
Q18556928,Q18556928, , , , , , , , , , , , , , ,C0334233, ,C4094, , , 
Q18556930,Q18556930, , , , , , , , , , , , , , ,C1412016, ,C6938, , , 
Q18556938,Q18556938, , , , , , , , , , , , , , ,C0238448, ,C6341, , , 
Q18556946,Q18556946, , , , , , , , , , , , , , ,C1333456, ,C5705, , , 
Q18556947,Q18556947, , , , , , , , , , , , , , ,C0279984, ,C8091, , , 
Q18556956,Q18556956, , , , , , , , , , , , ,171.9, ,C0334469, ,C6507, , , 
Q18556967,Q18556967, , , , , , , , , , , , , , ,C0559460, ,C4827, , , 
Q18556974,Q18556974, , , , , , , , , , , , , , ,"C0864950,C1519870", ,"C126498,C40133", , , 
Q18556975,Q18556975, , , , , , , , , , , , , ,D20.1,C0267785, ,C3958, , , 
Q18556981,Q18556981, , , , , , , , , , , , , , ,C2033037, ,"C27454,C95599", , , 
Q18556993,Q18556993, , , , , , , , , , , , , , ,C0334492,C535700,C4268, , , 
Q18556994,Q18556994, , , , , , , , , , , , ,239.2, ,C0036503,D012626,C3363, , , 
Q18557006,Q18557006, , , , , , , , , , , , , , ,C1335686, ,C5698, , , 
Q18557011,Q18557011, , , , , , , , , , , , , , ,C1334543, ,C7095, , , 
Q18557016,Q18557016, , , , , , , , , , , , , , ,C1332994, ,C6589, , , 
Q18557019,Q18557019, , , , , , , , , , , , , , ,"C0545080,C1266191",D058617,C38661, , , 
Q18557024,Q18557024, , , , , , , , , , , , , ,C56,C0346163, ,C7979, , , 
Q18557025,Q18557025, , , , , , , , , , , , , , ,C1519868, ,C40138, , , 
Q18557030,Q18557030, , , , , , , , , , , , , , ,C0036631, ,C7328, , , 
Q18557032,Q18557032, , , , , , , , , , , , , , ,C0262564, , , , , 
Q18557033,Q18557033, , , , , , , , , , , , , , ,C0746727, , , , , 
Q18557036,Q18557036, , , , , , , , , , , , , , ,C3642476, ,C35305, , , 
Q18557042,Q18557042, , , , , , , , , , , , , , ,C0340324, ,C35400, , , 
Q18557047,Q18557047, , , , , , , , , , , , , , ,C1266167, ,C6475, , , 
Q18557060,Q18557060, , , , , , , , , , , , , , ,C1334984, ,C27791, , , 
Q18557064,Q18557064, , , , , , , , , , , , , , ,C1332602, ,C5823, , , 
Q18557072,Q18557072, , , , , , , , , , , , , , ,C1335979, ,C5845, , , 
Q18557079,Q18557079, , , , , , , , , , , , , , ,C1377909, ,C6148, , , 
Q18557095,Q18557095, , , , , , , , , , , , , , ,C1332630, ,C5185, , , 
Q18557101,Q18557101, , , , , , , , , , , , , , ,C1332886, ,C7013, , , 
Q18557147,Q18557147, , , , , , , , , , , , , , ,C1514844, ,C4528, , , 
Q18557179,Q18557179, , , , , , , , , , , , , , ,"C0279635,C0334280", ,"C4127,C9159", , , 
Q18557183,Q18557183, , , , , , , , , , , , , , ,C1368918, ,C7695, , , 
Q18557199,Q18557199, , , , , , , , , , , , , , ,C1333762, ,C5247, , , 
Q18557207,Q18557207, , , , , , , , , , , , , , ,C0278594, ,C6286, , , 
Q18557210,Q18557210, , , , , , , , , , , , , , ,C1333160, ,C5438, , , 
Q18557218,Q18557218, , , , , , , , , , , , , , ,C1273017, ,C8461, , , 
Q18557220,Q18557220, , , , , , , , , , , , , , ,C0279547, ,C7946, , , 
Q18557229,Q18557229, , , , , , , , , , , , , , ,C1302547, ,C27911, , , 
Q18557237,Q18557237, , , , , , , , , , , , , , ,C1332950, ,C6216, , , 
Q18557238,Q18557238, , , , , , , , , , , , , , ,C1335175, ,C7278, , , 
Q18557245,Q18557245, , , , , , , , , , , , , , ,C1516403, ,C40213, , , 
Q18557256,Q18557256, , , , , , , , , , , , , , ,C1512737, ,C39827, , , 
Q18557257,Q18557257, , , , , , , , , , , , , , ,C1334281, ,C27885, , , 
Q18557259,Q18557259, , , , , , , , , , , , , , ,C1332137, ,C5649, , , 
Q18557260,Q18557260, , , , , , , , , , , , , , ,C1514910, ,C39956, , , 
Q18557266,Q18557266, , , , , , , , , , , , , , ,C1332209, ,C27378, , , 
Q18557305,Q18557305, , , , , , , , , , , , , , ,C1511188, ,C39835, , , 
Q18557306,Q18557306, , , , , , , , , , , , , , ,C1333791, ,C5473, , , 
Q55345826,Q55345826, , , , , , , , , , , , , , ,C1421994, , , , , 
Q55345840,Q55345840, , , , , , , , , , , , , ,G11.8,C3151343, , , , , 
Q55345944,Q55345944, , , , , , , , , , , , , , , , , , , , 
Q55345962,Q55345962, , , , , , , , , , , , , ,G90.3, , , , , , 
Q55345966,Q55345966, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55345969,Q55345969, , , , , , , , , , , , , ,H47.2, , , , , , 
Q55345978,Q55345978, , , , , , , , , , , , , ,Q03.8, , , , , , 
Q55345979,Q55345979, , , , , , , , , , , , , ,"Q03.1,Q03.2,Q03.8", , , , , , 
Q55345982,Q55345982, , , , , , , , , , , , , ,G11.8,C0751668, , , , , 
Q55345983,Q55345983, , , , , , , , , , , , , ,G11.8,C0751669, , , , , 
Q55345984,Q55345984, , , , , , , , , , , , , ,G11.8,C0751670, , , , , 
Q55345985,Q55345985, , , , , , , , , , , , , ,Q87.8,C2930952,C535617, , , , 
Q55346009,Q55346009, , , , , , , , , , , , , ,G11.4, , , , , , 
Q55346010,Q55346010, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55346023,Q55346023, , , , , , , , , , , , , ,G11.4, , , , , , 
Q55346025,Q55346025, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55346047,Q55346047, , , , , , , , , , , , , ,G11.1, , , , , , 
Q55346050,Q55346050, , , , , , , , , , , , , ,G93.4, , , , , , 
Q55346076,Q55346076, , , , , , , , , , , , , ,G11.1,C1847114, , , , , 
Q55346082,Q55346082, , , , , , , , , , , , , ,G31.8, , , , , , 
Q55346085,Q55346085, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55346087,Q55346087, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55346088,Q55346088, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55346089,Q55346089, , , , , , , , , , , , , ,G11.8, , , , , , 
Q55346091,Q55346091, , , , , , , , , , , , , , , , , , , , 
Q55346092,Q55346092, , , , , , , , , , , , , , , , , , , , 
Q55346093,Q55346093, , , , , , , , , , , , , ,G11.3, , , , , , 
Q55346094,Q55346094, , , , , , , , , , , , , , , , , , , , 
Q55346095,Q55346095, , , , , , , , , , , , , , , , , , , , 
Q55346119,Q55346119, , , , , , , , , , , , , , ,C2930951,C535616, , , , 
Q55373611,Q55373611, , , , , , , , , , , , , ,Q04.3,C1845366,C537456, , , , 
Q55780289,Q55780289, , , , , , , , , , , , , ,Q87.0,C0796280,C535655, , , , 
Q55780292,Q55780292, , , , , , , , , , , , , ,Q74.8,C1863307,C566319, , , , 
Q55780312,Q55780312, , , , , , , , , , , , , ,Q82.4,C1863006,C538245, , , , 
Q55780319,Q55780319, , , , , , , , , , , , , ,Q21.0,C1387721,C563239, , , , 
Q55780322,Q55780322, , , , , , , , , , , , , ,D18.0,"C1275084,C1862897,C1862898",C536364, , , , 
Q55780330,Q55780330, , , , , , , , , , , , , , ,C1862844,C566278, , , , 
Q55780334,Q55780334, , , , , , , , , , , , , , ,"C0266215,C3495676",C567938, , , , 
Q55780351,Q55780351, , , , , , , , , , , , , , ,C1862440,C566246, , , , 
Q55780358,Q55780358, , , , , , , , , , , , , ,Q87.5,C1862381,C538271, , , , 
Q55780383,Q55780383, , , , , , , , , , , , , , ,C1862101,C566193, , , , 
Q55780385,Q55780385, , , , , , , , , , , , , ,Q74.8,"C0342282,C1862092",C537338, , , , 
Q55780389,Q55780389, , , , , , , , , , , , , ,Q87.0,"C1862081,C2931421",C537101, , , , 
Q55780400,Q55780400, , , , , , , , , , , , , ,Q74.8,C1861963,C537967, , , , 
Q55780402,Q55780402, , , , , , , , , , , , , ,Q87.0,C2676032,C567298, , , , 
Q55780409,Q55780409, , , , , , , , , , , , , ,Q87.8,C1861835,C536691, , , , 
Q55780415,Q55780415, , , , , , , , , , , , , ,G95.0,"C0750929,C1861647", , , , , 
Q55780452,Q55780452, , , , , , , , , , , , , ,Q87.1,C1852513,C565148, , , , 
Q55780455,Q55780455, , , , , , , , , , , , , ,Q78.8,C0432263,C562974, , , , 
Q55780463,Q55780463, , , , , , , , , , , , , ,Q87.8,C1852454,C536219, , , , 
Q55780466,Q55780466, , , , , , , , , , , , , ,Q87.8,C1852396,C536229, , , , 
Q55780497,Q55780497, , , , , , , , , , , , , , ,C1852085, , , , , 
Q55780500,Q55780500, , , , , , , , , , , , , ,Q87.1,C1852073,C565094, , , , 
Q55780509,Q55780509, , , , , , , , , , , , , ,M85.8,C1852022,C565089, , , , 
Q55780516,Q55780516, , , , , , , , , , , , , ,Q87.8,C1851986,C565080, , , , 
Q55780519,Q55780519, , , , , , , , , , , , , ,D16.9,"C1300233,C1851956",C565076, , , , 
Q55780530,Q55780530, , , , , , , , , , , , , ,Q82.4,C1851858,C565068, , , , 
Q55780544,Q55780544, , , , , , , , , , , , , , ,C0220679,C562424, , , , 
Q55780574,Q55780574, , , , , , , , , , , , , ,Q87.5,C1851428,C565034, , , , 
Q55780580,Q55780580, , , , , , , , , , , , , , ,C1851412,C565032, , , , 
Q18557309,Q18557309, , , , , , , , , , , , , , ,C1333062, ,C27888, , , 
Q18557336,Q18557336, , , , , , , , , , , , , , ,C1336544, ,C6471, , , 
Q18557385,Q18557385, , , , , , , , , , , , , , ,C1335417, ,C6754, , , 
Q18557403,Q18557403, , , , , , , , , , , , , , ,C1266094, ,C6887, , , 
Q18557408,Q18557408, , , , , , , , , , , , , , ,C1336887, ,C6173, , , 
Q18557425,Q18557425, , , , , , , , , , , , , , ,C1518882, ,C7383, , , 
Q18557427,Q18557427, , , , , , , , ,Q1518637,Q1518637, , ,259.3, ,C0086768, ,C3488, , , 
Q18557450,Q18557450, , , , , , , , , , , , , , ,C1332990, ,C6547, , , 
Q18557451,Q18557451, , , , , , , , , , , , , , ,"C0334260,C2937231", ,C4110, , , 
Q18557458,Q18557458, , , , , , , , , , , , , , ,C2211850, ,C40286, , , 
Q18557461,Q18557461, , , , , , , , , , , , , , ,C1332464, ,C6456, , , 
Q18557465,Q18557465, , , , , , , , , , , , , , ,"C0862030,C2698310", ,"C80326,C8936", , , 
Q18557476,Q18557476, , , , , , , , , , , , , , ,C1515307, ,C39924, , , 
Q18557479,Q18557479, , , , , , , , , , , , , , ,C1290353, ,C4933, , , 
Q18557489,Q18557489, , , , , , , , , , , , , , ,C1516858, ,C40155, , , 
Q18557501,Q18557501, , , , , , , , , , , , , , ,C1332278, ,C7470, , , 
Q18557535,Q18557535, , , , , , , , , , , , , , ,C0345959, , , , , 
epieskleritis nodular,Q18557538,hantura,Q101991, , , , , , , , , , ,379.02,H15.12,C0155352, , , , , 
Q18557543,Q18557543, , , , , , , , , , , , , , ,C1332968, ,C27376, , , 
Q18557544,Q18557544, , , , , , , , , , , , , , ,C0041971, ,C3428, , , 
Q18557562,Q18557562, , , , , , , , , , , , , , ,C1518164, ,C39867, , , 
Q18557565,Q18557565, , , , , , ,Q662860,Q662860, , , , , , ,C1336527, ,C27474, , , 
Q18557567,Q18557567, , , , , , , , , , , , , , ,C1334717, ,C9276, , , 
Q18557597,Q18557597, , , , , , , , , , , , , , ,C1519487, ,C40358, , , 
Q18557610,Q18557610, , , , , , , , , , , , , , ,C1520093, ,C40319, , , 
Q18557618,Q18557618, , , , , , , , , , , , , , ,C3274143, ,C27452, , , 
Q18557630,Q18557630, , , , , , , , , , , , , , ,C1513799, ,C40385, , , 
Q18557670,Q18557670, , , , , , , , , , , , , , ,C0279602, ,C4020, , , 
Q18557676,Q18557676, , , , , , , , , , , , , , ,C0334612, ,C4334, , , 
Q18557683,Q18557683, , , , , , , , , , , , , , ,C1334575, ,C5614, , , 
Q18557685,Q18557685, , , , , , , , , , , , , , ,C0345979, ,C4460, , , 
Q18557715,Q18557715, , , , , , , , , , , , , , ,C1266087, ,"C3874,C5727", , , 
Q18557717,Q18557717, , , , , , , , , , , , , , ,C0279987, ,C8094, , , 
Q18557725,Q18557725, , , , , , , , , , , , , , ,C0235813, ,C3845, , , 
Q18557726,Q18557726, , , , , , , , , , , , , , ,C1332983, ,C6566, , , 
Q18557734,Q18557734, , , , , , , , , , , , , , ,C0559185, ,C27183, , , 
Q18557743,Q18557743, , , , , , , , , , , , , , ,C1336051, ,C5287, , , 
Q18557744,Q18557744, , , , , , , , , , , , , , ,C1333048, ,C35603, , , 
Q18557761,Q18557761, , , , , , , , , , , , , , , , , , , , 
Q18557762,Q18557762, , , , , , , , , , , , , , ,C1334238, ,C5462, , , 
Q18557768,Q18557768, , , , , , , , , , , , , , , , ,C6625, , , 
Q18557777,Q18557777, , , , , , , , , , , , , , ,C1516761, ,C42060, , , 
Q18557783,Q18557783, , , , , , , , , , , , , , ,C1518366, ,C40188, , , 
Q18557792,Q18557792, , , , , , , , , , , , , , ,C1335932, ,C27944, , , 
Q18557794,Q18557794, , , , , , , , , , , , , , ,C1335150, ,C7002, , , 
Q18557809,Q18557809, , , , , , , , , , , , , , ,C1335383, ,C6777, , , 
Q18557814,Q18557814, , , , , , , , , , , , , , ,C1511203, ,C39847, , , 
Q18557816,Q18557816, , , , , , , , , , , , , , ,C1335107, ,C6771, , , 
Q18557824,Q18557824, , , , , , , , , , , , , , ,C1515309, ,C39929, , , 
Q18557832,Q18557832, , , , , , , , , , , , , , ,C1519933, ,C40258, , , 
Q18557835,Q18557835, , , , , , , , , , , , , , ,C1336884, ,C6170, , , 
Q18557841,Q18557841, , , , , , , , , , , , , , ,C1335974, ,C27542, , , 
Q18557862,Q18557862, , , , , , , , , , , , , , ,C1516409, ,C40234, , , 
Q18557868,Q18557868, , , , , , , , , , , , ,"359.29,366.43", ,C0027128, ,C34833, , , 
Q18557880,Q18557880, , , , , , , , , , , , , , ,C1334258, ,C7125, , , 
Q18557891,Q18557891, , , , , , , , , , , , , , ,C1336546, ,C6525, , , 
Q18557892,Q18557892, , , , , , , , , , , , , , ,C1336096, ,C7325, , , 
Q18557897,Q18557897, , , , , , , , , , , , , , ,C1513364, ,C40178, , , 
Q18557906,Q18557906, , , , , , , , , , , , , , ,C1334753, ,C5199, , , 
Q18557907,Q18557907, , , , , , , , , , , , , , ,C1332987, ,C6549, , , 
Q18557909,Q18557909, , , , , , , , , , , , , , ,C1516422, ,C40203, , , 
Q18557910,Q18557910, , , , , , , , , , , , , , ,"C1266059,C1266079,C1516421", ,"C40202,C66951,C66953", , , 
Q18557913,Q18557913, , , , , , , , , , , , , , ,C1321427, ,C6561, , , 
Q18557916,Q18557916, , , , , , , , , , , , , , ,C1516407, ,C40212, , , 
Q18557918,Q18557918, , , , , , , , , , , , , , ,C1370510, ,C6908, , , 
Q18557919,Q18557919, , , , , , , , , , , , , , ,C0278622, ,C7814, , , 
Q18557932,Q18557932, , , , , , , , , , , , ,171.9, ,C1333821, ,C6560, , , 
Q18557949,Q18557949, , , , , , , , , , , , ,362.34,H34.0,C0154840, ,C35193, , , 
Q18557963,Q18557963, , , , , , , , , , , , ,305.43,F13.11,C0154529, , , , , 
Q18557964,Q18557964, , , , , , , , , , , , ,707.13, , , , , , , 
Q18557988,Q18557988, , ,"Paraldehido,Q422740","Q422740,Q424342", , , , , , , , ,293.1, ,C0154333, , , , , 
Q18557990,Q18557990, , , , , , , , , , , , ,"201,201.0,201.1,201.2,201.4,201.6,201.7,201.9","C81,C81.0,C81.2,C81.3,C81.4,C81.9","C0019829,C0152266,C0152267,C0220597,C1266194,C1334968", ,"C26956,C3517,C6913,C6914,C7258,C7702,C9283,C9357", , , 
Q18557999,Q18557999, , , , , , , , , , , , ,"535.3,535.30",K29.2,C0156076, ,C26977, , , 
Q18558010,Q18558010, , , , , , , , , , , , ,607.0,N48.0,C0022782, ,C3151, , , 
Q18558014,Q18558014, , , , , , , , , , , , ,"363.1,363.10","H30.1,H30.10",C0154879, , , , , 
Q18558033,Q18558033, , , , , , , , , , , , ,"287.3,287.30,287.39","D69.4,D69.49",C0477317, , , , , 
Q18558044,Q18558044, , , , , , , , , , , , ,233.1,"D06,D06.9",C0851140, ,C4000, , , 
Q18558045,Q18558045, , , , , , , , , , , , , , ,C1112746, ,C4949, , , 
Q18558046,Q18558046, , , , , , , , , , , , ,231.0,D02.0,C0154069, ,C9100, , , 
Q18558056,Q18558056, , , , , , , , , , , , , , ,C1333965, ,C5752, , , 
Q18558072,Q18558072, , , , , , , , ,Leishmania braziliensis,Q2493699, , ,085.5,B55.2,"C1328252,C3495436",D007897,C34769, , , 
Q18558086,Q18558086, , , , , , , , , , , , ,"270,270.9",E72.9,C0002514,D000592,C97090, , , 
Q18558100,Q18558100,Abzesu,Q164655, , , , , , , , , , ,017.7,A18.85,C0041331,D014400, , , , 
Q18558105,Q18558105, , , , , , , , , , , , ,599.4,N36.5,C0156286, , , , , 
Q18558107,Q18558107, , , , , , , , , , , , ,599.2,N36.1,C0152443, ,C39861, , , 
Q18558116,Q18558116, , , , , , , , , , , , ,098.41,A54.32,C0153212, , , , , 
Q18558118,Q18558118, , , , , , , , , , , , ,364.03,"H20.0,H20.03,H20.1,H20.2,H20.8,H20.9",C0154911, , , , , 
Q18558142,Q18558142, , , , , , , , , , , , ,710.8, ,C0263662, , , , , 
